"Census.Tract","CES.3.0.Score","Total.Population","California.County","Hispanic....","White....","African.American....","Native.American....","Asian.American....","Other....","ZIP","Longitude","Latitude","Ozone","PM2.5","Diesel.PM","Drinking.Water","Pesticides","Tox..Release","Traffic","Cleanup.Sites","Groundwater.Threats","Haz..Waste","Imp..Water.Bodies","Solid.Waste","Pollution.Burden","Asthma","Low.Birth.Weight","Poverty","Unemployment"
6019001100,94.09,3174,"Fresno ",65.3,4.2,24.6,0.5,3.5,1.8,93706,-119.7816961,36.7096952,0.065,15.4,48.524,681.2,2.75,18551.95719,909.14,80.5,45.75,0.795,0,21.75,79.96,131.64,7.44,76.3,17.6
6071001600,90.68,6133,"San Bernardino",91.1,5.8,0.7,0.3,1.4,0.7,91761,-117.6180131,34.0577805,0.062,13.31,38.556,904.66,1.37,7494.236622,782.26,66.2,36,1.25,5,12,81.19,60.66,7.04,72.5,12.3
6019000200,85.97,3167,"Fresno ",63.6,5.3,18.9,0.6,9.8,1.8,93706,-119.8055044,36.7354914,0.062,15.4,47.445,681.2,3.03,12454.94841,576.52,22,30.25,0.2,0,2.5,71.16,142.12,10.16,86.8,16.1
6077000801,82.49,6692,"San Joaquin",57.4,6,12.5,0.3,20.9,2.8,95203,-121.3145235,37.9405169,0.046,12.54,24.117,278.76,12.93,2387.782922,1305.01,50.1,132.1,0.795,19,27,74.48,142.17,6.23,61.3,19.6
6019001500,82.03,2206,"Fresno ",71.8,21.4,1.2,0.5,4.5,0.6,93725,-119.7178427,36.6816,0.065,15.4,18.846,1000.24,3518.41,21790.70672,435.16,60,54.2,13.1,0,50.8,80.2,90.48,4.5,66.4,18.6
6037204920,80.73,2598,"Los Angeles",98.1,1.2,0.1,0.1,0.2,0.3,90023,-118.1974975,34.0175004,0.046,12.89,56.52,714.48,0,39040.17995,2943.44,36.7,25,4.93,7,3.85,76.73,68.74,7.35,66.4,11.6
6077000300,80.18,2396,"San Joaquin",51.8,16.4,16.4,1.3,9.9,4.1,95203,-121.3020724,37.952421,0.046,13.44,21.76,278.76,172.49,707.5361575,885.52,89.7,149.05,0.135,14,2.3,68.27,169.56,8.36,76.2,14.4
6019001000,80.13,4106,"Fresno ",52.7,2.7,28.7,0.4,14.3,1.2,93706,-119.804314,36.6977507,0.065,15.4,20.848,788.02,1435.93,6996.962409,243.54,15.45,20,0,0,10,66.88,142.28,7.83,74.5,20
6037206050,79.03,2146,"Los Angeles",79.3,8.9,4.1,0.1,7.2,0.5,90023,-118.2244531,34.0299036,0.046,12.89,53.958,664.07,0,10378.23648,2810.82,36.05,16.25,10.025,7,22.1,77.09,58.03,6.71,75.7,28.5
6019000400,78.53,6343,"Fresno ",78,9.1,5.8,0.8,5.3,0.9,93721,-119.7762091,36.7276563,0.065,15.4,54.356,681.2,114.96,125383.892,815.36,15.95,13.5,0.755,0,0.5,73.89,107.8,4.79,83.4,23.5
6099002100,78.52,4165,"Stanislaus ",66.5,25.6,2.4,0.9,2.2,2.5,95354,-120.9667385,37.6287607,0.053,12.89,24.585,826.14,14.38,1033.797912,606.03,30,9.55,2.62,7,3.5,71.92,94.54,5.37,78.3,19.3
6029002500,78.41,9122,"Kern ",76.7,5.1,15.9,0.7,0.4,1.2,93307,-118.9920281,35.3372541,0.065,19.18,20.42,1041.62,3.47,49.70815719,675.16,42.4,46.25,10.26,0,13.6,70.64,89.83,6.28,73.8,28.5
6019000600,78.41,6161,"Fresno ",70.8,15.2,6.8,0.7,4.4,2.2,93721,-119.7933565,36.743063,0.065,15.4,54.243,681.2,88.58,7030.451231,591.37,5.7,8,0.46,0,1.25,68.31,118.86,7.87,89.5,21.7
6019001201,78.05,5936,"Fresno ",83.1,5.1,3.7,0.7,6.6,0.8,93725,-119.7577716,36.7107523,0.065,15.4,27.565,681.2,0,19782.60168,347.88,98.65,71.8,4.275,0,20,70.73,89.51,5.28,70.7,20.1
6037205120,78.04,3618,"Los Angeles",96.5,0.8,1,0.1,1.1,0.4,90023,-118.2117956,34.0187546,0.046,12.89,50.075,664.07,0,19178.66447,887.21,49.45,37.25,17.72,7,14.75,75.61,68.74,5.14,78.3,16.9
6019000902,77.65,5252,"Fresno ",57.9,1.5,21.3,0.3,17.7,1.3,93706,-119.8042772,36.717769,0.065,15.4,47.943,681.2,683.81,25476.58305,170.75,12.1,3,0.01,0,4.25,64.75,142.28,9.24,77.5,21.8
6037291220,77.5,3353,"Los Angeles",65.1,4.5,11.5,0.1,17,1.7,90247,-118.286709,33.8771395,0.044,12.05,27.16,695.72,68.63,8937.64998,2467.25,17.4,65.55,0.855,18,3.45,79.99,66.49,6.54,53.4,8.9
6019001202,77.41,4756,"Fresno ",72.5,2.5,11.7,0.4,12.3,0.6,93725,-119.7410277,36.7026849,0.065,15.4,27.699,947.44,11.74,8837.26905,291.45,30.5,38.25,4.28,0,23,75.94,78.61,4.94,77.8,21.6
6019000800,77.4,964,"Fresno ",66.9,4,6.2,0.6,20.9,1.3,93706,-119.831179,36.7067181,0.062,15.4,13.163,784.33,1031.87,7265.254475,127.2,22,15,0.1,0,7,65.5,142.28,8.9,76.5,18.5
6019000300,76.71,3609,"Fresno ",62.8,3.4,25.7,0.9,5.8,1.4,93706,-119.8010347,36.726462,0.065,15.4,53.066,681.2,26.78,35783.10251,434.57,23.5,24,0.01,0,1,67.17,142.28,8.12,78.7,11.5
6037239202,76.04,4724,"Los Angeles",82.6,0.7,16.1,0,0,0.6,90001,-118.2649765,33.9856783,0.046,12.47,26.33,782.48,0,4808.807974,930.42,145.8,29.85,0.485,0,15,66.16,91.39,7,76.3,13.6
6037226002,76.04,1604,"Los Angeles",49.8,22.7,18.3,0.4,6.7,2.2,90021,-118.2477686,34.0326196,0.046,12.89,46.142,664.07,0,6139.175596,1929.83,57.35,22.3,8.24,7,30.3,76.54,149.88,5.71,65.3,11.1
6077000700,76.02,5269,"San Joaquin",74.4,4,4.8,0.3,14.3,2.2,95206,-121.2878729,37.9431727,0.046,13.5,22.055,278.76,73.13,810.2517341,1022.65,74.75,102.6,0.1,14,13.55,70.73,123.86,4.25,79.5,16.5
6019000901,75.86,3151,"Fresno ",54.4,3.6,21.9,0.1,18.5,1.5,93706,-119.804301,36.7104697,0.065,15.4,47.24,681.2,699.89,13674.44729,195.77,14.2,10,0,0,6,66.91,142.28,9.09,80.8,26.2
6077000100,75.54,3863,"San Joaquin",51.9,17,15.2,1,11.9,3.1,95202,-121.2853628,37.953996,0.046,13.53,19.735,278.76,18.64,629.2738636,495.25,60.7,96.85,0.15,14,7.5,65.16,176.3,6.53,86,30.8
6099002302,75.19,4010,"Stanislaus ",76.1,18.4,1.5,0.6,2.3,1.1,95351,-120.982756,37.6209695,0.053,12.89,22.835,819.97,19.78,658.156468,910.22,1.9,7.8,1.085,7,1.75,66.29,95.77,5.42,73.5,24.1
6071004900,74.95,7590,"San Bernardino",86.6,6.6,4.6,0.3,0.8,1,92410,-117.3168792,34.100314,0.065,12.47,32.455,854.92,0,1111.567743,847.17,18.6,2,2.3,1,3.5,64.02,121.39,5.97,74,20
6037535400,74.46,3495,"Los Angeles",86.4,1.1,11.9,0,0.1,0.5,90002,-118.2314205,33.947117,0.044,12.05,25.04,777.35,0,5904.681637,1094.36,92.55,51.5,0.7,0,27.2,66.98,88.42,5.27,75.4,17.9
6019000700,74.16,3921,"Fresno ",61.7,4.2,29,0.5,2.8,1.8,93706,-119.8277069,36.7345353,0.062,15.4,19.621,681.2,20.94,7246.016392,438.28,19.5,9.5,0.075,0,8.25,64.75,142.18,9.84,65.6,11.5
6065030300,74.06,4497,"Riverside ",41.4,36.8,16,0.8,2.1,2.9,92501,-117.3763853,33.9798271,0.065,12.89,29.001,960.39,0,1186.290627,1045.59,38.25,35.25,0.4,0,2.6,68.62,108.89,7.11,56.2,18.4
6019007100,73.78,7904,"Fresno ",87.8,7.3,1.1,0.4,2.6,0.8,93662,-119.6279131,36.5629769,0.065,15.82,15.227,651,388.51,735.6523341,543.06,27.4,33,0.425,0,9.1,69.12,101.34,5.92,71.2,15.3
6037243100,73.54,5350,"Los Angeles",64.7,1.8,31.8,0.2,0.4,1,90059,-118.2350934,33.9327963,0.044,12.05,25.04,664.07,0,5852.275263,2521.07,25.25,12.15,0.555,0,3.7,62.55,105.29,9.99,76,15
6037543305,73.54,2666,"Los Angeles",27.2,26.9,37.3,0.6,5.2,2.9,90220,-118.2238692,33.8611473,0.042,11.63,31.198,383.1,36.2,6896.098953,1418.39,53,149.5,2.675,13,10.75,75.84,106.87,10,34.1,12.1
6071005701,73.28,2216,"San Bernardino",59.3,19.2,11.9,1,6.7,1.9,92401,-117.2926063,34.1006404,0.065,12.05,38.37,571.38,0,707.1247544,747.98,50.8,2,2.5,1,6,61.85,131.79,8.97,89.3,17.4
6037204600,73.13,4101,"Los Angeles",96.3,1.8,0.4,0.2,1.1,0.2,90023,-118.2158297,34.0366414,0.046,12.89,54.194,664.07,0,10365.37086,2937.84,3.75,8.3,1.7,7,4.55,69.56,73.07,5.81,71,14.9
6037227010,72.68,4662,"Los Angeles",92.1,0.6,7.1,0.1,0,0.2,90011,-118.2469968,34.0185256,0.046,12.89,42.594,664.07,0,6136.500335,982.78,57.8,3.55,1.54,7,18.2,70.16,64.02,6.04,72.2,11.8
6099002301,72.39,7841,"Stanislaus ",74.4,15.6,2.4,0.7,5,2,95351,-121.0188436,37.6049206,0.053,12.89,17.546,1131.9,840.89,593.611198,1090.88,1.4,8.1,0.05,7,3.2,65.71,79.42,5.5,65.6,23.4
6019000100,71.95,2860,"Fresno ",55.7,21.7,16.4,0.8,4.6,0.7,93721,-119.7927732,36.7369244,0.065,15.4,57.192,681.2,49.06,12665.51094,305.84,16.5,27,0.185,0,0,67.01,69.87,NA,84.1,NA
6077001900,71.89,5592,"San Joaquin",74.1,7.7,10.9,0.5,4.5,2.4,95205,-121.2605554,37.9516762,0.046,13.61,20.703,592.21,17.93,582.0127436,824.07,17.5,68.1,0,13,11.25,66.76,94.01,5.1,75.5,15.6
6037206032,71.56,5275,"Los Angeles",80.3,2,1.2,0.2,15.5,0.7,90033,-118.2246242,34.046259,0.046,12.89,62.68,664.07,0,7806.44435,2658.05,78.5,15.55,1.105,7,6.5,75.09,95.89,4.17,69.2,8.2
6037226001,71.53,2068,"Los Angeles",89.1,1.7,6.1,0.2,2.6,0.2,90021,-118.2502739,34.0244835,0.046,12.89,41.684,664.07,0,5941.164907,2289.68,55.6,4.6,3.55,7,24.7,73.35,87.25,6.16,79.3,4.1
6037239501,71.36,3454,"Los Angeles",74.8,0.7,24,0,0.1,0.3,90001,-118.2628927,33.9729857,0.046,12.05,26.33,664.07,0,5153.308202,1289.16,22.7,14.5,0.675,0,4.75,62.84,72.52,7.41,72.2,17.6
6019002000,71.34,6369,"Fresno ",58.3,22.5,8.1,0.9,7.9,2.4,93728,-119.8328803,36.7572824,0.062,15.4,38.25,756.9,0.02,3657.292495,827.41,6.25,10.5,0.31,0,5,65.11,91.21,8.44,80.7,21.6
6077005119,71.3,6006,"San Joaquin",29.8,22.5,10.1,0.3,33.1,4.3,95330,-121.3027448,37.8446844,0.05,12.05,13.467,1050.74,1994.23,1144.795122,1088.07,34,290.05,3.01,11,14.55,80.1,65.67,6.3,34.7,11.3
6037203100,71.05,4839,"Los Angeles",95.8,1,1.1,0.3,1.5,0.3,90033,-118.1964766,34.059079,0.046,12.89,31.02,527.51,0,6735.289812,2969.91,9.8,41.3,0.66,6,5.5,69.75,76.55,5.17,76.1,14.9
6037530700,71.03,2213,"Los Angeles",95.2,2.1,0.8,0.2,1.5,0.2,90063,-118.183979,34.0592143,0.046,12.47,31.02,647.12,0,8000,1829.52,29.6,40,0.5,0,10,68.25,54.46,8,54.3,19
6073005000,70.91,2227,"San Diego",90.3,5.4,1.8,0.2,1.4,0.9,92113,-117.1411746,32.6948502,0.038,11.21,110.8,228.07,0,1176.628601,1144.32,27.75,93.3,5.56,16,13.5,64.56,127.1,5.4,82.8,17.2
6037301601,70.91,6198,"Los Angeles",18.9,66.8,1.2,0.1,8.3,4.7,91201,-118.2865467,34.1623874,0.053,12.05,25.934,904.35,0,1882.547416,2095.06,52.05,88.7,2.675,8,9.75,76.66,32.65,6.33,49.9,12.2
6037185320,70.89,3081,"Los Angeles",90,3.7,0.6,0.2,5,0.6,90065,-118.2242419,34.0887194,0.046,12.89,28.12,535.03,0,3996.547625,1781.48,27.65,15.05,1.21,8,6.3,69.11,69.42,7.05,65.6,13.3
6037543202,70.82,4867,"Los Angeles",73.6,0.9,23.5,0,1.1,0.8,90220,-118.230032,33.8798617,0.042,12.05,35.92,444.22,0,6626.914092,1641.48,20.9,63.5,1.25,6,6.2,67.46,110.81,5.2,62.9,14.8
6065030502,70.63,2220,"Riverside ",87.2,7.6,3.7,0.3,0.5,0.7,92507,-117.3560514,33.9857419,0.065,12.89,43.217,960.39,0,940.1426992,1545.2,24.95,26,1.025,0,2.6,70.88,61.55,6.69,64.8,17.3
6071012500,70.61,4268,"San Bernardino",87.7,6.7,3.3,0.4,0.8,1.1,92324,-117.3233041,34.0602092,0.065,12.47,29.033,671.64,0,800.1737046,1617.04,40.15,3,0.21,1,15.25,65.65,95.84,7.47,70,7.3
6037531302,70.59,6709,"Los Angeles",98.1,1.1,0.2,0.1,0.1,0.4,90023,-118.1827241,34.0169019,0.046,12.47,56.52,640.73,0,58357.83013,3299.97,46.65,11.9,1.38,7,2.5,72.5,55.5,5.19,65.6,14.4
6019001301,70.56,5653,"Fresno ",84.9,5.9,2.5,0.6,5.2,0.8,93702,-119.7499923,36.732259,0.065,15.4,24.31,681.2,0.29,5811.241525,562.71,8,14,0.135,0,0,58.65,119.79,6.59,82.7,20.3
6019002502,70.56,5431,"Fresno ",66.6,5.2,3.6,0.5,22.4,1.8,93702,-119.7634654,36.7540827,0.065,15.4,43.346,681.2,0,2492.474237,1119.37,0,8,0.01,0,5,57.28,115.44,7.2,87.5,23.1
6037402801,70.39,5170,"Los Angeles",92.5,2.9,1.8,0.1,2,0.6,91766,-117.7349296,34.0542821,0.057,12.89,22.902,863.72,0,7176.500215,648.27,29.5,5,1.05,1,28,66.62,66.33,6.36,71.8,11.6
6019001304,70.21,5796,"Fresno ",60.2,3.5,9,0.8,25.2,1.4,93702,-119.7455349,36.7250147,0.065,15.4,24.31,681.2,0.2,8703.269449,365.32,10.15,19,0.3,0,1,61.92,116.56,6.17,81.4,22.1
6077002201,70.16,2771,"San Joaquin",67.1,2.9,24.5,0.3,2.8,2.4,95206,-121.2686436,37.9313083,0.046,12.85,21.699,278.76,27.13,763.4048111,318.32,14.05,11.8,0.175,10,9.75,59.19,128.15,9.28,68.3,15
6037532304,69.97,3987,"Los Angeles",87.8,5.9,3.6,0.7,1.3,0.6,90040,-118.1526793,33.9862905,0.046,12.05,26.108,613.11,0,12105.33825,1825.61,68.65,91.4,3.47,11,28,75.95,56.67,5.29,47.7,12.6
6019001303,69.96,2888,"Fresno ",64.4,3.9,4.3,1.2,25.7,0.6,93702,-119.7591482,36.7250069,0.065,15.4,24.31,681.2,0,15053.03477,347.82,4.65,17,0.625,0,1,58.94,98.82,7.93,92.1,13
6029002200,69.89,6537,"Kern ",75.8,3.3,19.2,0.3,0.3,1,93307,-118.9879161,35.3613217,0.065,19.6,25.57,593.77,0,38.46174593,583.48,15.2,16,7.245,0,5.2,58.57,89.83,8.2,80.6,35.4
6037205110,69.85,3766,"Los Angeles",98.5,1.1,0.1,0.1,0.1,0.2,90023,-118.2142985,34.0245059,0.046,12.89,42.82,664.07,0,14659.83047,974.3,20.15,4.75,9.06,7,8.1,70.49,68.74,5.45,78.8,5.5
6037570502,69.77,6616,"Los Angeles",54.8,11,13.9,0.3,17.7,2.3,90805,-118.1668021,33.8674703,0.042,11.63,24.22,220.01,7,6181.981699,1191.12,14,78,1.755,7,8.5,66.97,87.58,7.45,45.2,15.8
6037291210,69.62,4967,"Los Angeles",62.6,5.6,13.5,0.1,16.5,1.6,90247,-118.2870814,33.8886904,0.044,12.05,27.173,695.9,26.86,7007.6189,2498.31,27.4,72.55,1.545,0,14.45,75.52,70.23,6.18,53,9.1
6037219901,69.47,5234,"Los Angeles",79.8,2.2,16,0.1,0.6,1.2,90016,-118.3605226,34.0297377,0.046,12.05,24.45,664.07,0.07,2007.831902,3125.62,3.1,7.05,0.21,9,3.5,63.59,100.42,6.1,74.8,12.6
6037534202,69.37,5790,"Los Angeles",95.6,3,0.7,0.1,0.3,0.2,90201,-118.1611103,33.959603,0.046,12.05,16.885,478.95,38.62,8608.657111,713.01,8.7,16.25,0.45,10,3.7,65.64,48.15,6.44,75.4,17.1
6037540400,69.24,2384,"Los Angeles",80.8,0.9,16.4,0.3,0.9,0.8,90059,-118.2282398,33.9326754,0.044,12.05,25.04,671.58,0,5968.050135,2333.93,67.85,18.3,0.985,0,9,66.07,90.58,4.68,80.2,18.3
6065046700,69.15,4442,"Riverside ",55.6,24,14.6,0.2,3.2,2.4,92518,-117.278368,33.8891026,0.065,12.89,15.573,859.76,0.03,604.8258591,1258.41,28.2,181.5,0.455,0,4.9,67.53,66.89,6.75,67.8,21.3
6029002301,69.08,9743,"Kern ",85,9.4,3.4,0.5,0.9,0.9,93307,-118.9452577,35.3590376,0.065,19.6,25.148,801.86,1.42,22.92078576,509.04,14.75,8.7,0.975,0,6.5,62.04,86.67,6.29,76.3,21.8
6071002501,68.99,5840,"San Bernardino",88.5,7.6,1.8,0.1,1.4,0.7,92335,-117.4772152,34.0743336,0.065,13.31,29.312,516.07,22.12,5424.081436,1666.33,5.7,3,5.475,0,6,69.99,69.46,6.02,50,10.4
6019008502,68.98,7929,"Fresno ",97.5,1.5,0.1,0.1,0.5,0.2,93648,-119.5507133,36.6214407,0.065,16.24,9.162,697.42,3880.18,1549.949899,293.05,10,5,5,0,2,61.45,102.83,5.83,74.7,18.7
6019000502,68.97,3606,"Fresno ",71.5,13.9,5.9,0.5,6.9,1.3,93701,-119.781537,36.7444057,0.065,15.4,54.397,681.2,5.16,3938.730359,982.2,0,0,0.4,0,0.5,60.47,124.96,8.32,80.7,13.4
6037242100,68.88,2714,"Los Angeles",66.6,0.4,31.4,0.1,0.4,1,90002,-118.2336329,33.945396,0.044,12.05,25.04,771.74,0,5842.945149,832.63,48.55,22.75,0.625,0,15.5,64.04,88.42,5.87,87.2,16.9
6037203500,68.82,3064,"Los Angeles",85.1,2.4,0.8,0.2,10.7,0.9,90033,-118.2185819,34.057226,0.046,12.89,62.68,512.69,0,6863.580217,3513.85,81.2,37.85,2.36,7,5.5,74.55,95.93,4.36,56.5,11.2
6037302401,68.65,5944,"Los Angeles",37.3,41.2,1.9,0.1,17,2.5,91204,-118.2597456,34.1316179,0.051,12.05,24.86,900.64,0,2433.697267,805.67,37.2,25.5,1.76,5,15.5,70.33,67.93,5.78,49.4,11
6067005301,68.64,1823,"Sacramento ",20.1,33.1,35.1,2.1,4.1,5.5,95811,-121.4825199,38.5916037,0.046,9.53630303,17.794,80.01,0.41,1700.626695,1391.76,163.65,121.25,0.45,17,15,62.62,76.08,14.89,90.8,60.5
6037204820,68.47,2274,"Los Angeles",97.9,0.8,0,0.3,0.9,0.1,90023,-118.2058412,34.0238161,0.046,12.89,52.087,664.07,0,20285.50989,3666.72,18,9,3.745,7,2,72.29,68.74,5.71,50.7,6.1
6037532302,68.3,4707,"Los Angeles",95.8,2.5,0.7,0.3,0.5,0.3,90023,-118.1751711,34.0096885,0.046,12.47,55.371,504.43,0,75486.33394,2580.34,125.8,46.75,2.465,7,3.75,73.98,61.9,4.51,60.2,14.2
6073004900,68.27,5028,"San Diego",90.4,3.4,4.7,0.1,0.7,0.7,92113,-117.138677,32.7018526,0.038,11.21,110.8,228.07,0,606.425948,1565.15,18.4,82.8,4.32,7,12.45,62.39,127.1,5.61,72.6,14.6
6037229420,68.25,4729,"Los Angeles",87.4,0.3,11.4,0.1,0.1,0.6,90011,-118.2608177,33.9925311,0.046,12.89,26.33,783.05,0,4903.856805,974.32,119.05,16.75,0.375,0,8.75,65.41,61.02,6.91,71.3,10.9
6037541001,68.24,1164,"Los Angeles",43.8,2.7,47.8,0.1,3.5,2.1,90248,-118.2749503,33.8934521,0.044,12.05,27.308,473.98,3.76,6502.603969,470.36,46.95,74,8.05,0,22.75,65.56,68.35,6.6,47.2,17.7
6099002200,68.22,6223,"Stanislaus ",67.5,18.3,4.2,0.7,7.5,1.9,95351,-121.0038051,37.6223838,0.053,12.89,23.585,826.14,0,615.9232707,953.39,9.25,13.1,0.15,7,0,59.04,92.45,5.84,76.4,19.5
6037534302,67.96,3673,"Los Angeles",96.6,1.5,1.3,0.1,0.4,0.1,90201,-118.1755664,33.9593595,0.046,12.05,18.53,626.59,0.08,8620.478603,NA,46.4,19,1.61,7,3.45,67.52,41.67,7.49,65.4,14.8
6073003902,67.79,4927,"San Diego",88.7,2.9,6.3,0.2,1.1,0.6,92113,-117.1263197,32.696749,0.038,11.21,58.557,228.07,0,4415.764498,1208.22,7.55,29.25,7.115,15,17.5,62.77,127.1,4.96,76.6,20.7
6037239701,67.77,4261,"Los Angeles",76.8,0.7,21.5,0.1,0.3,0.7,90003,-118.2752632,33.966092,0.046,12.05,25.97,664.07,0,4785.991331,4775.03,7.55,1.5,0.5,0,1.5,56.75,95.56,8.41,79.2,13.2
6077002300,67.75,5020,"San Joaquin",78.7,3.3,6.9,0.3,9.1,1.7,95206,-121.278407,37.9292396,0.046,13.09,21.68,278.76,1.06,845.7725384,367.83,16.4,38.35,0.02,16,8,57.91,128.15,5.59,74.9,18
6037570301,67.72,7330,"Los Angeles",64.5,7.1,17.7,0.2,8.9,1.6,90805,-118.1922187,33.8676075,0.042,12.05,29.03,220.01,4.42,6085.244937,1554.95,9.1,8.55,2.035,7,1.75,62.12,87.56,7.08,52.6,14.8
6071012400,67.63,3617,"San Bernardino",80.7,8.9,6,0.2,3.5,0.7,92408,-117.2948174,34.0741251,0.065,12.05,41.058,877.97,0,644.3547829,1493.05,22.65,4.5,0.445,1,7.5,67.32,96.15,5.48,57.9,16
6037128302,67.55,4688,"Los Angeles",77.8,13,3.9,0.2,3.6,1.4,91411,-118.4605367,34.1838638,0.055,11.21,25.49,618.05,0,817.4485361,1595.64,0.25,14,0.27,7,8.5,60.55,66.93,7.47,71.6,12.8
6037242700,67.52,5273,"Los Angeles",72.3,0.4,25.7,0.1,0.4,1.1,90059,-118.2426486,33.9363535,0.044,12.05,25.04,628.08,0,5725.469925,2101.41,4.85,9.5,0.15,6,1.2,58.5,88.01,7.7,85.5,20.4
6065031300,67.44,2651,"Riverside ",92.7,2.8,1.9,0.9,1.2,0.4,92504,-117.4058257,33.9303688,0.065,12.05,17.52,960.39,13.08,11168.95806,2174.7,16,10,0.5,0,0,68.84,60.13,5.41,63.4,17.1
6071007000,67.44,7898,"San Bernardino",87,6.7,3.9,0.2,1.1,1.1,92324,-117.3134436,34.0744598,0.065,12.47,42.576,885.61,0,830.7216942,1325.15,7.5,0,0.085,1,8.5,60.9,88.8,5.72,66.9,18.1
6037533001,67.42,4527,"Los Angeles",95,0.8,3.5,0.2,0.3,0.2,90001,-118.24555,33.9802221,0.046,12.05,23.49,575.06,0,5709.953193,790.07,54,7.55,2.525,0,9.1,59.99,79.03,6.19,74.7,12
6037121222,67.39,5293,"Los Angeles",85,6.5,3.1,0.1,4.4,0.9,91352,-118.3919494,34.2321411,0.055,12.05,23.31,618.05,0,1022.925341,2055.12,18.25,2.6,0.975,4,26.65,65.21,77.04,7.03,70.8,11.6
6037532800,67.31,4409,"Los Angeles",91.5,0.4,7.6,0,0.3,0.2,90001,-118.2520926,33.9864059,0.046,12.47,24.493,575.06,0,5361.16416,1005.81,136.5,7.4,1.36,0,7.45,61.03,78.89,7.53,76.3,6.9
6037239601,67.3,3755,"Los Angeles",82.2,0.3,16.4,0.2,0.2,0.6,90003,-118.2752977,33.9728371,0.046,12.05,26.33,664.07,0,4678.640037,4021.64,6.75,6.3,0.52,0,1.75,58.58,95.56,5.57,77.2,17.4
6037575401,67.2,5155,"Los Angeles",76.9,5.7,11.5,0.2,4.5,1.3,90813,-118.200174,33.7863532,0.042,11.21,29.12,220.01,1.43,14453.79426,820.59,0,57,1.2,19,2.5,60.22,116.32,6.19,79.1,14.2
6077002401,67.08,5001,"San Joaquin",63.5,2.8,6.8,0.1,25.1,1.6,95206,-121.2897337,37.9290303,0.046,12.98,21.755,278.76,0,949.3612286,1319.02,10.45,58.15,0.01,18,5.15,58.66,128.15,5.27,72.1,20.8
6037534201,67.05,4439,"Los Angeles",95.4,2.7,0.8,0.3,0.6,0.2,90201,-118.1672627,33.9580353,0.046,12.05,18.493,475.44,19.49,8988.652776,2757.89,24.3,29.75,1.005,10,2.95,73.58,48.15,4.54,70.9,10.2
6037122410,66.93,3794,"Los Angeles",83.2,7.6,4.6,0,3.3,1.2,91605,-118.3919739,34.2044832,0.055,12.05,21.73,618.05,0,1121.260416,808.32,16.5,45,0.395,0,3.5,60.36,78.9,5.37,73.8,16.5
6037239702,66.87,3927,"Los Angeles",68.6,0.9,29,0.1,0,1.4,90003,-118.2750006,33.962202,0.046,12.05,24.76,664.07,0,4876.021333,3720.67,9,3.6,0.125,0,3,57.54,95.56,8.92,73,13.1
6037572800,66.79,839,"Los Angeles",19,25.3,38.6,1.5,9.4,6.2,90810,-118.2212087,33.7952959,0.042,11.21,36.66,220.01,0,27471.52932,595.7,7.15,24.25,11.415,22,5.4,59.91,72.09,NA,91.5,34.6
6073003601,66.76,3250,"San Diego",89.6,2.9,5.5,0,1.5,0.5,92113,-117.1165151,32.6909862,0.038,11.21,42.597,228.07,0,875.7058339,1703.39,5.25,66.5,3.675,11,7.5,60.67,125.77,5.69,74.5,16.8
6037228100,66.68,4916,"Los Angeles",91.3,0.4,7.3,0.1,0.1,0.8,90011,-118.2439607,34.009617,0.046,12.89,42.82,628.95,0,6132.236744,530.13,46.6,4.25,1.395,7,13.85,66.22,65.14,4.9,76.2,12.4
6037292000,66.67,6543,"Los Angeles",59.7,11,13.2,0.1,14.2,1.8,90501,-118.3021541,33.8484731,0.042,12.05,19.699,426.43,0.03,10548.6642,2511.49,102.2,51.35,6.71,14,10.7,71.62,59.49,5.95,56.7,18.6
6037434001,66.54,4395,"Los Angeles",87.3,2.9,0.3,0.1,9.1,0.3,91732,-118.0141173,34.0520775,0.05,12.05,32.03,782.36,16.71,8051.796181,971.38,41.9,18.1,0.125,5,5,74.35,56.43,5.13,63.6,14.3
6037122122,66.51,2439,"Los Angeles",80.3,12.6,4.4,0.3,1.7,0.6,91352,-118.3736105,34.2197648,0.055,12.05,37.276,618.05,0,1100.164818,1625.33,16,11.5,0.64,6,21.8,69.56,77.04,5,55.4,14.8
6099001500,66.48,6551,"Stanislaus ",54.9,31,4.6,0.4,6.4,2.7,95358,-121.0374635,37.6349769,0.053,12.89,15.428,1123.34,1528.52,564.7514342,650.75,21.95,17.05,0.08,6,5.5,69.34,83.51,4.38,54.6,25
6037242600,66.48,4409,"Los Angeles",59.9,0.9,38.2,0.1,0.2,0.7,90059,-118.2502423,33.932376,0.044,12.05,25.04,627.17,0,5631.459453,3279.99,0,4.5,0.11,6,7,57.62,105.29,7.05,88.1,39.7
6077000900,66.46,5859,"San Joaquin",49.6,30.6,6.7,0.9,8.5,3.6,95203,-121.3278662,37.9577717,0.048,13.44,20.032,278.76,0.36,826.3113751,1960.84,34,34,0.125,16,0.75,63.53,149.5,7.32,57.3,22.5
6037228900,66.42,3216,"Los Angeles",86.1,0.5,9.8,0.2,2.9,0.5,90058,-118.2430143,33.9920544,0.046,12.47,23.49,655.71,0,5940.839994,577.44,61.3,2.75,10.21,0,12.5,59.05,76.55,7.2,84.8,13.5
